max_cartesian_error_joint (mm),max_cartesian_error_index_joint (mm),avg_cartesian_error_joint (mm),max_orientation_error_joint  (rad),max_z_error_joint (mm),average_z_error_joint (mm),max_cartesian_error_cartesian (mm),max_cartesian_error_index_cartesian (mm),avg_cartesian_error_cartesian (mm),max_orientation_error _cartesian (rad),max_z_error_cartesian (mm),average_z_error_cartesian (mm),,,,,A-G,C-I
0.012619084,50,0.008400335,0.052673175,0.017463784,-0.000317691,0.027183045,0,0.013764579,0.709219254,0.004290682,-0.000114095,,,,,-0.014563961,-0.005364244
0.012667395,50,0.007980126,0.050975709,0.014395284,-0.000114395,0.016161963,99,0.006666196,0.711638735,0.00412195,-0.000114496,,,,,-0.003494569,0.00131393
0.01257839,50,0.007982566,0.050564385,0.014719055,2.70E-05,0.016299437,99,0.006703333,0.714910711,0.004230726,5.45E-05,,,,,-0.003721048,0.001279233
0.012512967,50,0.007997296,0.05019032,0.015131146,0.000297669,0.016291417,99,0.006731939,0.718791559,0.004163476,0.000297588,,,,,-0.00377845,0.001265357
0.259337155,99,0.158979173,0.054742096,-0.259926053,-1.072769165,0.028230523,73,0.020515602,0.72341984,0.004001408,0.000278023,,,,,0.231106632,0.138463571
0.01350064,49,0.008393013,0.061209923,0.014288908,0.000297719,0.016314238,99,0.006730602,0.731406503,0.003939711,0.00029759,,,,,-0.002813598,0.001662411
0.013320492,49,0.008336473,0.060944219,0.014680729,0.000155154,0.016084146,0,0.006730889,0.740055321,0.003862648,0.000178556,,,,,-0.002763654,0.001605584
0.013202733,49,0.008337866,0.060575188,0.014134562,-0.000297557,0.016201676,99,0.006698782,0.74935901,0.002869992,-0.000297665,,,,,-0.002998944,0.001639085
0.156658979,99,0.057670076,0.065589211,0.227339506,-0.205696186,0.033499108,99,0.012426463,0.759481492,0.002651443,-0.000297234,,,,,0.123159871,0.045243613
0.014066847,49,0.008692099,0.069687308,0.013580218,-0.000297472,0.016000509,0,0.006585147,0.771083427,0.002554368,-0.000297662,,,,,-0.001933662,0.002106952
0.013836503,49,0.008615068,0.069561308,0.013955871,-0.000322901,0.015708778,0,0.006557871,0.783295439,0.002279077,-0.000291366,,,,,-0.001872275,0.002057197
0.013709587,49,0.008627143,0.069284397,0.014213107,-0.000255629,0.015704718,0,0.006478484,0.796098376,0.002074174,-0.000255806,,,,,-0.001995131,0.002148659
0.380592733,99,0.16820771,0.069013907,1.313614527,-0.709388052,0.038882687,99,0.010412781,0.80953151,0.001746821,-0.000255782,,,,,0.341710047,0.157794929
0.014510445,49,0.008996517,0.078907255,0.014544142,-0.000255499,0.015340077,0,0.006295797,0.824348858,0.001779219,-0.000255803,,,,,-0.000829632,0.00270072
0.014304151,49,0.008956209,0.078838999,0.014901441,-0.000255498,0.01508677,0,0.00620499,0.839693057,0.001507678,-0.000255802,,,,,-0.000782618,0.002751219
0.01416139,49,0.008970119,0.078752442,0.015396355,1.31E-05,0.015452795,0,0.00607573,0.855502044,0.001535606,5.38E-05,,,,,-0.001291404,0.002894389
0.013936851,49,0.008908697,0.07863431,0.015999555,6.05E-05,0.014601415,0,0.006020754,0.871752696,0.001305268,6.02E-05,,,,,-0.000664565,0.002887943
64.86762998,0,28.10122666,0.113106378,27.83037821,10.99761549,0.051318589,0,0.01673416,0.889075946,0.001364706,5.38E-05,,,,,64.81631139,28.0844925
0.014599088,49,0.009293754,0.088354391,0.017018246,6.06E-05,0.014028042,0,0.005758709,0.906933206,0.001055736,6.02E-05,,,,,0.000571046,0.003535045
0.014431934,50,0.009274429,0.088329257,0.017123082,-9.28E-05,0.013917926,99,0.005630613,0.925148722,0.000813826,-4.49E-05,,,,,0.000514008,0.003643815
0.014262501,50,0.009258685,0.088350235,0.01763466,-0.000106026,0.013437375,0,0.005529783,0.943703383,0.000398978,-0.00010651,,,,,0.000825126,0.003728902
66.68215767,99,29.2636792,0.097749267,28.20551702,11.32015176,0.062410307,99,0.03051586,0.962771865,0.00028369,-0.000124082,,,,,66.61974736,29.23316334
0.014807403,50,0.009777913,0.097335587,0.018931419,-0.000105842,0.012801671,0,0.00524846,0.982494589,0.000217927,-0.000106507,,,,,0.002005732,0.004529453
0.014581886,49,0.009745236,0.097465221,0.019898432,-0.000157701,0.012403517,0,0.005181512,1.002489263,-9.27E-06,-0.000105283,,,,,0.002178369,0.004563724
0.014552312,50,0.009770787,0.097473811,0.019616198,-8.16E-05,0.012159634,0,0.004995467,1.022741268,3.56E-05,-8.22E-05,,,,,0.002392678,0.004775319
0.014441063,50,0.009768459,0.09751048,0.019960303,-8.16E-05,0.011824609,0,0.0048701,1.043198721,0.000136323,-8.22E-05,,,,,0.002616454,0.004898358
