j1,j2,j3,j4,j5,j6
-0.000769175,0.039506664,-0.006731311,-0.028409478,-0.123942146,-0.034792697
-0.00077062,0.039506633,-0.006729107,-0.028411535,-0.123945127,-0.034792887
-0.000772065,0.039506602,-0.006726902,-0.028413593,-0.123948109,-0.034793076
-0.00077351,0.03950657,-0.006724697,-0.02841565,-0.12395109,-0.034793266
-0.000774954,0.039506539,-0.006722492,-0.028417707,-0.123954071,-0.034793456
-0.0007764,0.039506507,-0.006720287,-0.028419764,-0.123957052,-0.034793646
-0.000777845,0.039506475,-0.006718081,-0.028421821,-0.123960033,-0.034793836
-0.00077929,0.039506443,-0.006715876,-0.028423877,-0.123963014,-0.034794026
-0.000780735,0.03950641,-0.00671367,-0.028425934,-0.123965994,-0.034794217
-0.00078218,0.039506377,-0.006711463,-0.02842799,-0.123968974,-0.034794407
-0.000783626,0.039506344,-0.006709257,-0.028430047,-0.123971955,-0.034794598
-0.000785071,0.039506311,-0.00670705,-0.028432103,-0.123974935,-0.034794789
-0.000786517,0.039506277,-0.006704844,-0.028434159,-0.123977914,-0.034794979
-0.000787963,0.039506243,-0.006702637,-0.028436215,-0.123980894,-0.034795171
-0.000789409,0.039506209,-0.006700429,-0.028438271,-0.123983874,-0.034795362
-0.000790854,0.039506175,-0.006698222,-0.028440326,-0.123986853,-0.034795553
-0.0007923,0.03950614,-0.006696014,-0.028442382,-0.123989832,-0.034795745
-0.000793746,0.039506106,-0.006693807,-0.028444437,-0.123992811,-0.034795936
-0.000795192,0.039506071,-0.006691599,-0.028446493,-0.12399579,-0.034796128
-0.000796639,0.039506035,-0.00668939,-0.028448548,-0.123998769,-0.03479632
-0.000798085,0.039506,-0.006687182,-0.028450603,-0.124001748,-0.034796512
-0.000799531,0.039505964,-0.006684973,-0.028452658,-0.124004726,-0.034796704
-0.000800978,0.039505928,-0.006682764,-0.028454712,-0.124007705,-0.034796896
-0.000802424,0.039505891,-0.006680555,-0.028456767,-0.124010683,-0.034797089
-0.000803871,0.039505855,-0.006678346,-0.028458821,-0.124013661,-0.034797281
-0.000805317,0.039505818,-0.006676136,-0.028460876,-0.124016639,-0.034797474
-0.000806764,0.039505781,-0.006673927,-0.02846293,-0.124019616,-0.034797667
-0.000808211,0.039505744,-0.006671717,-0.028464984,-0.124022594,-0.03479786
-0.000809658,0.039505706,-0.006669507,-0.028467038,-0.124025571,-0.034798053
-0.000811105,0.039505668,-0.006667296,-0.028469092,-0.124028548,-0.034798246
-0.000812552,0.03950563,-0.006665086,-0.028471146,-0.124031526,-0.034798439
-0.000813999,0.039505592,-0.006662875,-0.028473199,-0.124034502,-0.034798633
-0.000815446,0.039505553,-0.006660664,-0.028475253,-0.124037479,-0.034798826
-0.000816894,0.039505514,-0.006658453,-0.028477306,-0.124040456,-0.03479902
-0.000818341,0.039505475,-0.006656241,-0.028479359,-0.124043432,-0.034799214
-0.000819788,0.039505436,-0.00665403,-0.028481412,-0.124046409,-0.034799408
-0.000821236,0.039505396,-0.006651818,-0.028483465,-0.124049385,-0.034799602
-0.000822684,0.039505356,-0.006649606,-0.028485518,-0.12405236,-0.034799796
-0.000824131,0.039505317,-0.006647394,-0.02848757,-0.124055337,-0.034799991
-0.000825579,0.039505276,-0.006645181,-0.028489623,-0.124058312,-0.034800185
-0.000827027,0.039505236,-0.006642969,-0.028491675,-0.124061287,-0.03480038
-0.000828475,0.039505195,-0.006640756,-0.028493728,-0.124064263,-0.034800575
-0.000829923,0.039505154,-0.006638543,-0.02849578,-0.124067238,-0.034800769
-0.000831371,0.039505112,-0.00663633,-0.028497832,-0.124070213,-0.034800964
-0.000832819,0.039505071,-0.006634116,-0.028499883,-0.124073188,-0.03480116
-0.000834268,0.039505029,-0.006631902,-0.028501935,-0.124076163,-0.034801355
-0.000835716,0.039504987,-0.006629689,-0.028503987,-0.124079137,-0.03480155
-0.000837165,0.039504945,-0.006627475,-0.028506038,-0.124082112,-0.034801746
-0.000838613,0.039504902,-0.00662526,-0.02850809,-0.124085086,-0.034801942
-0.000840062,0.039504859,-0.006623046,-0.028510141,-0.12408806,-0.034802138
-0.00084151,0.039504816,-0.006620831,-0.028512192,-0.124091034,-0.034802334
-0.000842959,0.039504773,-0.006618616,-0.028514243,-0.124094008,-0.03480253
-0.000844408,0.039504729,-0.006616401,-0.028516294,-0.124096982,-0.034802726
-0.000845857,0.039504685,-0.006614186,-0.028518344,-0.124099955,-0.034802922
-0.000847306,0.039504641,-0.00661197,-0.028520395,-0.124102928,-0.034803119
-0.000848755,0.039504597,-0.006609754,-0.028522445,-0.124105901,-0.034803315
-0.000850204,0.039504552,-0.006607538,-0.028524496,-0.124108875,-0.034803512
-0.000851654,0.039504508,-0.006605322,-0.028526546,-0.124111847,-0.034803709
-0.000853103,0.039504463,-0.006603106,-0.028528596,-0.12411482,-0.034803906
-0.000854552,0.039504417,-0.006600889,-0.028530646,-0.124117792,-0.034804103
-0.000856002,0.039504372,-0.006598672,-0.028532695,-0.124120765,-0.034804301
-0.000857451,0.039504326,-0.006596455,-0.028534745,-0.124123737,-0.034804498
-0.000858901,0.03950428,-0.006594238,-0.028536795,-0.124126709,-0.034804696
-0.000860351,0.039504233,-0.006592021,-0.028538844,-0.124129681,-0.034804893
-0.000861801,0.039504187,-0.006589803,-0.028540893,-0.124132653,-0.034805091
-0.000863251,0.03950414,-0.006587585,-0.028542942,-0.124135625,-0.034805289
-0.000864701,0.039504093,-0.006585367,-0.028544991,-0.124138596,-0.034805487
-0.000866151,0.039504046,-0.006583149,-0.02854704,-0.124141567,-0.034805685
-0.000867601,0.039503998,-0.00658093,-0.028549089,-0.124144538,-0.034805884
-0.000869051,0.03950395,-0.006578712,-0.028551137,-0.124147509,-0.034806082
-0.000870501,0.039503902,-0.006576493,-0.028553186,-0.12415048,-0.034806281
-0.000871952,0.039503854,-0.006574274,-0.028555234,-0.124153451,-0.03480648
-0.000873402,0.039503805,-0.006572054,-0.028557282,-0.124156421,-0.034806678
-0.000874853,0.039503756,-0.006569835,-0.02855933,-0.124159391,-0.034806877
-0.000876303,0.039503707,-0.006567615,-0.028561378,-0.124162361,-0.034807077
-0.000877754,0.039503658,-0.006565395,-0.028563426,-0.124165331,-0.034807276
-0.000879205,0.039503608,-0.006563175,-0.028565474,-0.124168301,-0.034807475
-0.000880656,0.039503558,-0.006560955,-0.028567521,-0.124171271,-0.034807675
-0.000882107,0.039503508,-0.006558734,-0.028569569,-0.12417424,-0.034807874
-0.000883558,0.039503458,-0.006556514,-0.028571616,-0.12417721,-0.034808074
-0.000885009,0.039503407,-0.006554293,-0.028573663,-0.124180179,-0.034808274
-0.00088646,0.039503357,-0.006552071,-0.02857571,-0.124183148,-0.034808474
-0.000887912,0.039503306,-0.00654985,-0.028577757,-0.124186117,-0.034808674
